chr	cpg	count_c	total_coverage
58	6149	0	1
53	123009	0	2
2	5860738	0	12
5	3095650	0	14
7	2964725	0	11
2	16778246	0	14
3	1611927	0	13
8	1731006	0	9
2	11630488	0	8
8	6837882	0	4
166	56066	0	1
2	18397999	0	10
7	13149428	0	11
7	7093184	0	13
1	1114049	0	14
2	15151571	0	7
8	10352407	0	10
2	3835499	0	9
2	15723672	0	15
9	4296519	0	9
4	12435777	0	13
10	7322538	0	5
1	9938333	0	7
1	6620935	0	2
5	12100769	1	2
6	7282820	0	18
9	10204096	0	9
7	10435713	0	14
5	9650139	0	2
5	4105536	0	7
3	3010018	0	11
1	16919322	0	16
17	343851	0	12
1	14098540	0	2
4	729966	0	11
1	4686228	0	10
7	12789284	0	12
11	1430237	0	42
4	11037085	0	19
2	18807944	0	6
7	12764443	0	13
2	12984614	0	15
4	11297581	0	2
5	2405600	0	18
7	4318584	0	10
155	22081	0	10
4	3904766	2	12
2	2715399	0	14
8	2630332	1	9
1	12822988	0	12
5	3390693	0	14
5	11835118	0	16
1	15620492	0	8
7	5021011	0	4
8	5959929	0	1
7	10185449	0	11
6	4143546	0	6
2	17695663	1	14
6	9226579	0	12
7	2558433	0	5
4	4204146	0	9
1	16388522	0	12
10	2216479	0	17
3	12306409	0	8
5	9087041	3	3
9	9909457	1	7
3	6890025	0	4
3	13819977	0	13
2	1867440	0	11
6	7172203	0	12
4	11116346	0	6
8	8878569	0	6
1	2776787	0	5
9	7690304	1	13
68	97295	0	11
10	1447760	0	14
5	12426297	0	14
7	12181421	0	22
8	4168860	0	15
6	1538244	0	3
7	1334284	0	9
4	13067736	1	8
2	10766375	0	10
6	9351244	0	1
1	13578809	0	1
1	14571509	0	14
10	8688908	0	9
6	10132438	0	15
4	10961454	1	13
7	3632303	0	5
6	5637005	0	4
2	18506261	0	7
9	10287717	0	1
4	10230276	0	8
2	18536769	0	10
7	1458907	0	3
3	7885989	0	9
9	1246387	0	7
7	893202	0	8
7	608311	0	6
2	14747957	0	6
4	13185535	0	9
3	5376945	0	4
4	2537355	0	13
10	8155042	0	4
12	259191	0	11
10	1723555	0	3
2	17150339	0	10
5	7209598	0	10
1	6471663	0	18
187	23838	0	2
2	8125492	0	16
1	4056178	0	2
5	10525623	0	6
9	10052344	0	3
9	9144742	0	15
1	1787890	0	3
2	1004606	0	17
6	4828896	0	17
2	7258003	0	9
7	1486814	0	4
40	153620	0	22
2	611979	0	14
5	2839780	0	14
7	7121444	0	10
9	2587064	0	5
3	2827638	0	14
5	6522085	0	10
6	984197	1	9
1	14004971	0	10
3	1007179	0	10
9	302096	0	4
9	335396	0	9
3	7297021	0	2
2	13990537	0	19
2	1134715	0	4
1	1587252	0	10
7	5834886	0	16
1	5899737	0	4
3	11988784	0	9
1	10073944	0	4
1	11854930	0	8
7	11998344	0	10
5	4533788	0	12
7	4891276	0	12
2	3905112	0	16
8	6682165	0	13
3	8538183	0	6
4	5304381	0	3
7	8540318	0	1
3	4169112	0	8
8	6804653	0	6
3	13250333	0	16
2	4688264	0	20
3	6106721	0	3
7	4767768	0	4
10	3519701	0	10
4	4636337	0	2
7	198578	0	10
4	5314882	0	5
4	9483072	0	1
4	9480931	0	8
17	107065	0	9
3	9192581	0	7
4	11642397	0	19
4	9310692	0	18
3	2192087	0	10
6	3941777	1	8
10	1103743	0	8
4	8807445	0	5
10	7164592	0	23
8	3555152	0	2
1	15960602	0	8
9	10027305	0	3
1	18562984	0	4
24	191470	0	5
4	1942373	0	4
104	84923	0	25
7	5171695	0	12
5	7370725	0	6
2	15533120	0	10
8	7412337	0	3
1	11044777	0	3
3	2989258	0	4
5	2434479	0	13
6	10235656	0	13
7	1937210	0	15
2	18361015	0	3
4	550733	0	9
4	286039	0	18
4	9393943	0	10
7	8177990	0	15
4	6892850	0	6
2	71351	0	8
10	6035147	0	8
7	11605639	0	11
10	6369034	0	6
10	521258	0	13
2	12954160	0	7
5	8219429	0	11
7	340551	0	16
1	405522	0	11
6	8297628	0	16
2	5617907	0	3
4	8439236	0	4
2	1268525	0	10
6	8916277	0	6
5	5436597	0	4
8	9600465	0	8
9	3179370	0	9
5	9746846	0	15
3	990447	0	1
6	9733139	0	11
16	150821	0	2
2	1019067	0	9
4	7463082	0	4
4	5632304	0	6
18	232897	0	21
1	3814192	0	9
4	11150506	0	12
2	8092849	0	2
9	4345029	0	11
6	1931854	0	13
163	55477	1	32
8	417946	0	16
2	14091304	0	9
10	3201371	0	7
1	6313063	0	14
10	7485511	0	5
5	9958058	0	13
6	8530765	0	1
4	962710	0	16
3	11053678	0	20
3	9919366	0	2
10	7521298	0	7
5	6189900	0	10
121	34283	0	4
3	6943065	0	16
8	3711147	0	8
10	4798792	0	9
3	5406839	0	1
7	12891930	0	7
2	3116700	0	10
4	8303326	0	12
2	3903812	0	16
3	12437616	1	61
7	237996	0	2
9	4085635	10	10
4	9417336	0	9
6	10175767	0	11
5	11945938	0	3
1	13837243	0	18
7	12012126	0	5
5	5024415	0	3
37	20131	0	9
10	611325	0	17
8	3017079	0	6
4	8774738	0	5
4	120116	7	8
10	1388714	0	4
2	9760240	0	2
1	14904197	0	12
9	2601075	0	10
1	1104137	0	8
3	13153529	0	14
1	1769671	0	8
7	2985663	0	16
2	6624650	0	4
4	635028	0	18
5	11631373	0	2
6	3189032	0	3
4	3842320	0	11
6	4511996	0	9
2	3954525	0	6
5	8137715	0	10
10	200510	0	13
6	3163115	4	4
6	467826	0	5
8	2749013	0	10
1	10387164	0	8
4	2323597	0	4
6	1187550	0	13
1	7325360	0	9
4	3343562	0	16
20	161543	0	6
8	625873	0	12
8	8153928	0	3
115	65421	0	6
2	13796799	0	7
4	10252867	0	12
257	20517	0	4
9	7781133	0	10
4	2907343	0	19
8	10494506	0	13
16	389870	0	3
4	1121738	0	19
4	1864309	0	8
4	4380475	0	10
2	737768	0	5
2	8430727	0	10
4	10758685	0	9
7	4269050	0	6
6	8528740	0	13
5	6570504	0	13
7	2562752	0	10
8	9471210	0	11
5	367197	0	12
4	10765670	0	7
2	8801283	0	7
4	5571971	0	2
3	3635862	0	10
1	12741471	0	12
4	5718151	0	21
38	135892	0	14
8	11159504	1	4
10	1179830	0	8
9	9425530	0	1
3	2362517	0	12
6	1640491	0	10
1	13567671	0	7
1	843963	0	16
8	8425140	0	9
7	1442808	0	11
35	28589	0	1
4	4213487	0	9
2	14807906	0	13
7	10918075	0	5
1	6617969	0	3
5	252538	0	6
3	8123163	0	14
9	3545854	0	6
3	9512583	0	2
10	3297247	0	19
8	2345916	0	3
1	15720405	0	15
6	8895394	0	12
7	10720284	0	5
10	3325236	0	12
1	14936926	0	18
2	4618035	0	9
2	15149132	0	10
20	250644	0	14
2	8945444	0	9
3	2710334	0	10
1	6165603	0	1
3	659794	0	6
3	8143930	0	7
2	1319207	0	15
10	1617654	0	3
10	8924743	0	9
1	1058770	0	12
5	2746754	0	6
22	9020	0	10
9	3872155	0	7
8	7515462	0	8
10	5465810	0	3
6	709171	0	14
2	2904159	0	18
9	1746083	0	17
3	8181312	0	2
1	18958899	0	20
7	7743058	0	4
1	8257188	1	6
4	3890314	0	10
10	4970895	0	3
10	7185565	0	7
10	1591494	0	14
4	8308399	0	18
10	5220969	0	11
6	10211374	0	8
3	3449489	8	8
7	2101275	0	14
1	18945136	0	9
3	3334822	1	8
10	7932588	0	2
6	2546185	0	16
1	728811	0	3
3	11677221	0	13
1	1641890	0	11
9	3455917	0	17
1	17714022	0	6
8	6267386	0	6
2	5941341	0	14
1	1060139	0	12
5	8581105	0	14
5	503516	0	3
8	378996	0	12
3	13733399	0	7
3	3574090	0	5
3	587220	0	18
8	3417439	1	8
1	17058740	0	17
8	9346322	0	6
7	7976490	0	14
7	5309104	0	11
8	10597851	0	10
5	9829389	0	11
67	30102	0	7
3	106814	0	15
1	13785087	0	8
28	140207	0	14
1	16364002	0	8
8	10516712	0	7
4	5779365	0	11
1	12291310	0	9
9	190063	0	14
2	16372944	0	8
7	10856471	0	5
2	1332932	0	10
8	9475963	0	11
5	3527457	0	3
10	4400844	0	1
6	6713849	0	7
1	3550855	0	6
2	15947298	1	10
9	2686277	1	12
2	10696262	0	1
9	7677872	1	15
2	12619451	1	6
5	4684470	0	3
2	15933594	0	6
7	8403886	0	13
8	10366765	0	12
6	6122233	0	6
5	7376488	0	4
2	6137872	0	9
4	7787853	0	1
5	10507511	0	15
4	5746825	0	7
39	1015	0	6
8	5234275	0	9
7	1387860	0	9
1	10125355	0	7
6	5904248	0	8
7	5183529	0	10
1	10984841	0	7
10	5172140	0	4
10	1791508	0	7
9	5713241	0	8
1	15258270	1	10
3	8638142	0	6
8	2667066	0	17
1	16899164	0	6
7	460612	0	5
7	866381	0	21
2	12090632	0	14
10	2298916	0	10
3	3104303	0	8
5	14505	0	8
5	6213173	0	12
78	62595	0	2
7	3817962	1	6
1	12826097	0	15
9	2574456	0	7
3	10310845	0	25
9	9448898	0	1
3	9876586	0	11
10	6898339	0	5
1	3690857	0	11
2	6547938	0	1
5	32348	0	8
5	11718935	0	14
9	2822775	0	13
4	1105229	0	6
146	48546	1	5
3	3736712	0	12
37	21757	1	14
4	1109553	0	6
3	11170808	0	8
1	9563766	0	3
8	7196882	0	9
8	10082360	0	4
3	5925375	0	1
65	34365	0	4
8	1407493	0	5
147	35888	0	13
2	15426676	0	15
102	78175	0	1
18	185093	0	15
4	53256	0	18
5	7047040	0	5
6	5389504	0	4
3	2001914	0	9
7	7758311	0	1
3	85445	0	4
10	7138640	0	12
6	2098658	0	3
2	14080874	0	8
8	3141035	0	3
3	8405897	0	22
8	10443613	0	6
1	762581	0	2
1	9650572	0	3
7	11041339	0	10
279	22455	0	1
4	4586189	0	10
4	3360201	0	1
3	4496013	0	3
5	11260435	0	16
7	3290239	0	8
1	10452590	0	7
6	8657887	0	8
10	4930647	0	16
4	660784	0	10
7	814459	0	11
7	7158072	0	12
8	1372291	0	6
4	9456286	0	10
6	3840184	0	4
1	2238414	1	14
3	13251867	0	7
7	12292353	0	8
1	16907195	0	12
2	15698565	0	18
4	586378	0	11
1	15603919	0	9
3	12431620	0	78
4	790866	0	1
5	3284861	0	2
2	1276101	0	7
9	2045803	0	3
7	4847093	0	9
6	3619869	0	12
66	81054	0	5
1	1931436	0	15
5	3961416	0	2
1	6564329	0	5
7	10504084	0	8
18	150146	0	2
8	5748966	0	9
7	13074109	0	14
8	7940910	0	6
115	47847	0	7
2	16431039	0	9
10	7563573	0	11
9	4054738	0	4
2	2528361	0	17
4	8150230	0	10
9	5191961	0	5
5	2460839	0	10
3	8569818	0	25
8	5841659	1	5
7	12308013	0	10
4	1815795	0	12
6	9655822	0	9
7	10919833	0	11
3	11369492	0	18
2	18077490	0	15
4	7353219	0	7
9	64781	9	11
1	982490	0	14
8	323337	0	15
3	1694701	0	4
33	60049	0	12
6	5911908	0	13
1	7940493	0	2
1	15930217	0	13
