chr	cpg	count_c	total_coverage
20	100712	0	19
6	2233163	0	1
2	4496535	0	9
5	11438968	0	14
3	4375154	0	16
7	6892662	0	14
4	10215420	0	6
92	48203	0	4
9	1822564	1	11
7	2692174	0	1
1	7964777	0	1
1	10890108	0	9
1	63778	0	8
2	5213335	0	12
7	1817630	0	6
32	156150	0	2
247	13392	0	9
2	2214864	0	3
10	3245543	0	11
6	9015080	0	20
2	18429626	0	15
10	3763207	0	5
8	3078547	0	5
10	332395	0	15
7	6964955	0	2
6	7055077	0	17
105	42730	0	10
147	62493	0	21
2	13551786	0	8
1	16700404	0	12
1	12191144	0	8
5	1871567	0	5
5	3365244	0	9
2	11432687	0	4
9	2736242	1	13
7	7400947	0	5
2	11767239	0	1
6	172710	0	14
4	8995706	0	5
8	1947353	0	18
6	8251114	0	26
6	4983698	1	7
4	974817	0	17
5	9218303	0	7
6	4810866	0	3
12	288556	0	3
3	6204044	0	2
7	1886423	0	14
113	53101	0	8
4	11759487	4	7
3	10749804	0	9
8	5672224	0	17
2	11426349	0	6
8	2732492	0	8
2	13463837	0	2
7	12877030	0	16
9	2024940	0	11
7	10684267	0	16
1	6487383	0	4
2	1648864	0	6
2	6432416	0	6
2	11417861	0	10
2	3800344	0	20
2	9150596	0	7
10	1419679	0	12
2	12115214	0	3
2	2561377	0	2
4	10420365	0	8
6	253053	0	10
1	10179638	0	9
1	16014128	0	3
5	1938684	0	12
1	13585209	0	6
6	5079251	0	13
1	6031384	0	22
43	26963	0	1
5	9864593	0	8
6	5175780	0	12
3	13388188	0	6
4	3803083	0	21
7	832448	0	10
6	5152793	0	5
10	8433623	0	2
3	2082441	0	4
2	11911977	0	13
2	1937319	0	12
12	26878	2	7
4	2202948	0	5
1	4178489	0	24
40	83005	0	10
7	6836347	0	11
6	5541369	0	13
10	641059	0	7
1	1649797	0	2
4	3985113	0	9
5	11623413	0	3
7	5056975	0	7
53	105938	0	14
20	200088	0	7
9	4234140	0	8
5	9847900	0	21
10	559478	0	9
10	5206335	0	6
3	2900279	0	1
2	16535276	0	5
2	3093466	0	11
4	4108896	0	4
5	10690656	0	5
2	15442812	0	11
3	7057302	0	7
174	56136	0	1
5	11354405	0	5
20	121089	0	10
2	15150251	0	4
4	1093489	0	8
3	11872498	0	5
9	2430302	0	18
7	4307169	0	14
2	11328977	0	6
4	2631224	0	12
7	12936932	0	18
4	12000713	0	9
8	9489029	1	11
10	6901821	0	18
3	12119257	0	23
3	6231404	0	10
5	6585445	0	15
1	16865914	1	12
5	5956182	0	1
20	224718	0	8
4	9916937	0	9
6	972644	0	8
299	9668	3	1060
3	149122	0	8
5	7708713	0	13
3	7022632	0	13
15	101939	0	4
2	4630343	0	11
1	15970816	0	10
3	9594112	0	8
7	12434266	1	17
7	5381136	0	4
4	9111294	0	5
9	3064571	8	9
5	11623754	0	7
85	83204	0	5
4	6013976	0	1
2	3115360	0	10
9	3335785	0	6
4	437040	0	2
9	4872459	0	4
27	168792	0	12
3	1880838	0	3
1	18049367	0	5
299	1800	7	1407
4	3605504	0	1
1	10312398	0	8
3	3739151	0	3
9	4821152	0	9
3	12934253	0	6
3	7567387	0	6
1	3656573	0	7
1	3019908	0	8
1	8747419	0	9
6	9452708	0	9
1	766920	0	16
6	8461309	0	1
14	156809	0	5
5	7998293	0	13
8	1648186	0	7
7	1774826	0	2
1	13385795	0	8
2	2609312	0	8
1	10376448	0	1
7	6811151	0	5
8	9242502	0	6
2	2774278	0	4
2	17729125	0	6
79	73702	0	5
5	1053270	0	6
7	10207686	0	5
7	11076403	0	11
2	14004889	0	11
7	2218890	0	13
8	4558506	0	7
7	6068856	0	7
253	19330	0	8
1	13233935	0	6
9	2475098	0	10
5	11079401	1	2
5	8806163	1	8
2	18254584	0	5
2	17767396	0	4
3	7016023	0	15
10	3637477	0	3
7	1717179	0	6
1	13479364	0	4
4	5293470	0	11
10	1448167	1	7
14	110363	0	9
7	7757794	0	3
4	5370509	0	9
15	304100	0	17
1	4022199	0	13
8	8625246	0	17
9	3124207	0	8
10	166826	0	7
1	9763381	0	1
1	9601459	0	3
2	18869519	0	10
5	1072906	0	26
3	10957424	0	24
4	8272323	0	6
4	8452499	0	16
207	7020	0	4
90	62726	0	7
1	17830511	0	2
10	8643696	0	15
7	8605298	0	11
5	2165475	0	10
2	3029450	0	13
3	1982051	0	16
10	904006	0	1
9	180166	0	17
6	822761	0	12
6	10192429	0	2
1	6664585	0	1
9	4526390	0	5
